name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Azul: Stained Glass of Sintra,3.6601941747572817,103.0,2.0,4.0,30.0,45.0,63.99,42.49,28.29
King of New York,3.175471698113208,159.0,2.0,6.0,30.0,45.0,63.99,44.95,23.79
Queendomino,3.451239224137931,116.0,2.0,4.0,25.0,45.0,41.99,34.95,20.00
Tichu,3.69811320754717,106.0,3.0,10.0,60.0,75.0,21.99,12.95,11.99
Cards Against Humanity,2.4647448575949356,256.0,4.0,30.0,30.0,30.0,0.00,35.00,0.00
7 Wonders: Wonder Pack,3.7777777777777763,54.0,2.0,7.0,30.0,45.0,0.00,15.77,0.00
Fields of Arle,3.8352941176470585,85.0,1.0,2.0,60.0,120.0,0.00,149.99,70.99
Cash 'n Guns Second Edition,3.2083810770993613,149.0,4.0,8.0,30.0,45.0,57.99,0.00,0.00
Through the Desert,3.499999999999999,122.0,2.0,5.0,60.0,90.0,64.99,45.95,40.28
At the Gates of Loyang,3.747162698412698,100.0,1.0,4.0,60.0,120.0,0.00,62.86,46.95
Samurai,3.7129870129870124,110.0,2.0,4.0,30.0,60.0,0.00,0.00,0.00
Ascension: Deckbuilding Game,3.2855844155844163,140.0,1.0,4.0,30.0,45.0,56.99,35.95,0.00
Arcadia Quest,3.642201834862386,109.0,2.0,4.0,60.0,60.0,124.99,110.95,76.99
Zombicide: Black Plague,3.6743232157506154,106.0,1.0,6.0,60.0,90.0,129.99,118.99,66.49
Welcome to the Dungeon,3.016260162601627,165.0,2.0,4.0,30.0,45.0,19.99,13.95,9.99
Altiplano,3.6113926426426435,96.0,2.0,5.0,60.0,120.0,64.99,61.86,36.99
Twilight Imperium: Third Edition,3.577235772357723,123.0,3.0,6.0,180.0,240.0,0.00,0.00,0.00
Root: The Riverfolk Expansion,4.224137931034482,58.0,1.0,6.0,60.0,90.0,55.99,44.95,30.70
Euphoria: Build a Better Dystopia,3.597035991531403,109.0,2.0,6.0,60.0,75.0,89.99,62.95,46.49
Glass Road,3.599999999999999,105.0,1.0,4.0,75.0,90.0,0.00,68.63,30.94
Fresco,3.649572649572649,117.0,2.0,4.0,60.0,60.0,0.00,62.95,0.00
BANG!,2.844998562805404,196.0,4.0,7.0,20.0,40.0,31.99,12.95,19.49
Cockroach Poker,3.32,125.0,2.0,6.0,20.0,20.0,21.99,10.95,8.94
Reef,3.585041551246538,95.0,2.0,4.0,30.0,45.0,63.99,59.49,29.59
Endeavor: Age of Sail,3.9181034482758608,87.0,2.0,5.0,60.0,90.0,0.00,73.95,56.99
Tales of the Arabian Nights,3.4615384615384612,117.0,1.0,6.0,120.0,120.0,79.99,0.00,53.70
La Granja,3.782608695652173,92.0,1.0,4.0,90.0,120.0,0.00,56.95,88.79
The Pillars of the Earth,3.5169491525423733,118.0,2.0,4.0,60.0,90.0,0.00,55.95,32.99
Flick 'em Up!,3.2902361821280746,111.0,2.0,10.0,45.0,60.0,81.99,54.95,0.00
Trickerion,3.850000000000001,80.0,2.0,4.0,60.0,120.0,0.00,56.95,0.00
Catan: 5-6 Player Extension,3.170918367346938,140.0,5.0,6.0,60.0,90.0,0.00,26.95,18.66
Camel Up (Second Edition),3.8656716417910455,67.0,3.0,8.0,30.0,45.0,0.00,39.89,0.00
Rhino Hero,3.4065040650406493,123.0,2.0,5.0,10.0,15.0,17.99,16.99,7.29
Arkham Horror: Dunwich Horror Expansion,3.7804878048780486,41.0,1.0,8.0,120.0,180.0,0.00,0.00,0.00
Eminent Domain,3.3658536585365852,123.0,2.0,4.0,45.0,60.0,49.99,33.24,69.98
Race for the Galaxy: The Gathering Storm,3.8837209302325584,86.0,1.0,5.0,30.0,75.0,35.99,23.95,18.74
7 Wonders: Cities,3.7236,100.0,2.0,8.0,36.0,42.0,44.99,34.95,17.99
Exit: The Game - The Abandoned Cabin,3.712871287128713,101.0,1.0,6.0,60.0,120.0,21.99,13.89,11.99
Hive: The Pillbug,3.7812500000000004,32.0,2.0,2.0,20.0,20.0,0.00,10.95,0.00
Ingenious,3.475,120.0,1.0,4.0,30.0,45.0,0.00,34.95,22.49
The Lord of the Rings: Journeys in Middle-earth,3.9298245614035086,57.0,1.0,5.0,60.0,120.0,34.99,111.95,64.79
Viticulture,3.8800000000000003,100.0,2.0,6.0,90.0,90.0,0.00,0.00,0.00
Vast: The Crystal Caverns,3.309871495327103,107.0,1.0,5.0,75.0,90.0,0.00,52.95,49.99
Dominion: Intrigue (Second Edition),3.61,100.0,2.0,4.0,30.0,45.0,0.00,35.95,0.00
Zombie Dice,2.826432147780366,177.0,2.0,99.0,12.0,20.0,0.00,12.95,0.00
